Price,INDIA_VIX,USD_INR,VIX_Change,USDINR_Change,Risk_Score
2011-02-28,24.39999961853028,45.25,4.228961031913947,-1.2827811753791218,2.946179856534825
2011-03-31,22.18000030517578,44.61000061035156,-9.098357983860572,-1.4143632920407434,-10.512721275901315
2011-04-30,19.57999992370605,44.29999923706055,-11.722273875997246,-0.6949145237605814,-12.417188399757826
2011-05-31,16.81999969482422,45.08300018310547,-14.09601756709009,1.7674965226407435,-12.328521044449346
2011-06-30,18.40999984741211,44.7599983215332,9.453033183330906,-0.7164604402111419,8.736572743119764
2011-07-31,19.770000457763672,44.0099983215332,7.387292893121544,-1.675603279992055,5.711689613129489
2011-08-31,24.8799991607666,45.93999862670898,25.84723613901705,4.385367822728292,30.23260396174534
2011-09-30,31.940000534057617,48.86000061035156,28.37621226460476,6.3561211818254915,34.73233344643025
2011-10-31,22.65999984741211,48.62799835205078,-29.054478808634478,-0.4748306496165422,-29.52930945825102
2011-11-30,26.549999237060547,51.90299987792969,17.166811190833677,6.734806360255607,23.901617551089284
2011-12-31,27.11000061035156,53.0,2.109233105021402,2.113558223321088,4.22279132834249
2012-01-31,22.65999984741211,52.49300003051758,-16.414609600710527,-0.9566037160045671,-17.371213316715092
2012-02-29,26.93000030517578,49.06800079345703,18.843779728671663,-6.524678023868658,12.319101704803005
2012-03-31,22.3799991607666,51.3380012512207,-16.895659461001557,4.626233840907501,-12.269425620094056
2012-04-30,17.81999969482422,52.53799819946289,-20.375333498386894,2.3374438408111153,-18.03788965757578
2012-05-31,25.25,56.22800064086914,41.69472745464642,7.023492648876695,48.718220103523116
2012-06-30,19.07999992370605,56.79800033569336,-24.43564386651069,1.0137292600262082,-23.421914606484485
2012-07-31,16.010000228881836,55.42300033569336,-16.090145215408924,-2.4208598751247146,-18.51100509053364
2012-08-31,17.299999237060547,55.62799835205078,8.057457774744869,0.3698789584031248,8.427336733147992
2012-09-30,16.15999984741211,53.007999420166016,-6.5895921382834395,-4.709856564141813,-11.299448702425252
2012-10-31,14.399999618530272,53.95800018310547,-10.891090628096055,1.7921837709989896,-9.098906857097067
2012-11-30,15.149999618530272,54.8380012512207,5.208333471307047,1.6309000799306306,6.839233551237678
2012-12-31,14.949999809265137,54.75299835205078,-1.3201307874655677,-0.15500728916160167,-1.4751380766271693
2013-01-31,14.130000114440918,53.303001403808594,-5.484947861444322,-2.6482512225522337,-8.133199083996555
2013-02-28,14.859999656677246,53.858001708984375,5.166309528124247,1.0412177373864129,6.2075272655106595
2013-03-31,15.220000267028809,54.38800048828125,2.422615199656475,0.9840669213103448,3.4066821209668197
2013-04-30,15.100000381469728,54.22800064086914,-0.7884355023241141,-0.2941822570708075,-1.0826177593949216
